exam,exam_url,q_number,question,option_a,option_b,option_c,option_d,correct_answer,num_correct_answers,area,theme,difficulty_1_10,explanation
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,3,Where is the Eden Project located?,Dorset,Cornwall,Devon,Somerset,Cornwall,1,Geography,Landmarks & famous places,6,"The Eden Project is located in Cornwall , in the south west of England."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,4,St Helena and the Falkland Islands are part of Great Britain.,True,False,,,False,1,Geography,"Nations, capitals & geography of the UK",6,"False . There are several British overseas territories in other parts of the world, such as St Helena and the Falkland Islands. They are also linked to the UK but are not part of it."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,5,Which two of the following are fundamental principles of British life?,Monarchy,The rule of law,Democracy,Join a political party,The rule of law | Democracy,2,Values & Citizenship,British values & principles,5,"The fundamental principles of British life include: democracy, the rule of law , individual liberty, tolerance of those with different faiths and beliefs and participation in community life."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,6,Where should you register if you want to become part of a jury?,The electoral register,Your local church,The NHS,The British Embassy,The electoral register,1,Law & Justice,The legal system & courts,7,"People on the electoral register are randomly selected to serve on a jury. Therefore, if you want to be selected to form part of a jury you have to be on the electoral register and be between 18 to 70 years old."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,7,What sort of church is the Church of Scotland?,Catholic,Baptist,Presbyterian,Methodist,Presbyterian,1,Culture & Society,Religion & patron saints,7,"In Scotland, the national Church is the Church of Scotland, which is a Presbyterian Church ."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,8,Where does golf come from?,Wales,Australia,Ireland,Scotland,Scotland,1,Sport,Sport & sporting events,4,The modern game of golf can be traced back to 15th century Scotland .
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,9,When do the television and newspapers have stories that are jokes until midday?,Valentine’s Day,Boxing Day,Halloween,April Fool’s Day,April Fool’s Day,1,Culture & Society,"Festivals, holidays & traditions",3,"On April Fool’s Day , the 1st of April the television and newspapers often have stories that are April Fool jokes."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,10,What king was defeated by Oliver Cromwell during the Civil War and hid in an oak tree before escaping to Europe?,Richard III,Charles II,James I,Henry IV,Charles II,1,History,"Stuarts, Civil War & Restoration",7,The correct answer is Charles II .
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,11,Who was the father of Queen Elizabeth I?,Edward I,Henry V,Henry VII,Henry VIII,Henry VIII,1,History,Tudors & the Reformation,5,The father of Queen Elizabeth I was Henry VIII .
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,12,Complaints against the police can ONLY be made by writing to the Police Complaints Commissioner.,True,False,,,False,1,Law & Justice,"Police, crime & punishment",5,"False . Anyone can make a complaint about the police by going to a police station and writing to the Chief Constable of the police force involved . Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland ."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,13,Who is the patron Saint of Northern Ireland?,St George,St Patrick,St Andrew,St David,St Patrick,1,Culture & Society,Religion & patron saints,3,The patron Saint of Northern Ireland is St Patrick .
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,14,"What is the name of the period when new ideas about politics, philosophy and science were developed?",The Enlightenment,The Glorious Revolution,The Swinging Sixties,The Reformation,The Enlightenment,1,History,"Enlightenment, science & discovery",5,"During the 18th century, new ideas about politics, philosophy and science were developed. This is often called ‘the Enlightenment’ ."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,15,Which of the following statements is TRUE:,"Mary Stuart (‘Mary, Queen of Scots’) was a Protestant","Mary Stuart (‘Mary, Queen of Scots’) was a Catholic",,,"Mary Stuart (‘Mary, Queen of Scots’) was a Catholic",1,History,Tudors & the Reformation,7,"Mary Stuart (‘Mary, Queen of Scots’) was a Catholic ."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,16,Which of the following is an example of civil law?,To sell tobacco products to anyone under the age of 18,To buy alcohol for people who are under the age of 18,Discrimination in the workplace,"To carry a weapon of any kind, even if it is for self-defence",Discrimination in the workplace,1,Law & Justice,The legal system & courts,6,Discrimination in the workplace is an example of civil law.
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,17,In which battle did Admiral Nelson die?,The Battle of Hastings,The Battle of Waterloo,The Battle of Trafalgar,The Battle of Bannockburn,The Battle of Trafalgar,1,History,"Empire, exploration, slavery & abolition",5,Admiral Nelson was in charge of the British fleet at the Battle of Trafalgar and was killed in the battle.
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,18,"William of Orange was asked by Protestants to invade England and proclaim himself king. But, when William reached England, there was no resistance and he took over the throne. This event was later known as:",The ‘Glorious Revolution’,The Restoration,The ‘Great Depression’,The ‘Blitz’,The ‘Glorious Revolution’,1,History,Glorious Revolution & Bill of Rights,6,"William of Orange was asked by Protestants to invade England and proclaim himself king. When William reached England, there was no resistance and he took over the throne. This event was later called the ‘Glorious Revolution’."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,19,What sort of charity is ‘Friends of the Earth’?,An environmental charity,A medical research charity,A charity working with pets,A charity working with older people,An environmental charity,1,Culture & Society,"Food, leisure & everyday life",3,Friends of the Earth is an environmental charity .
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,20,If a husband forces his wife to have sex he can be charged with rape.,True,False,,,True,1,Law & Justice,"Police, crime & punishment",4,This statement is true .
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,21,In which country of the British Empire did the Boer War (1899-1902) take place?,Netherlands,Falkland Islands,Gibraltar,South Africa,South Africa,1,History,"Empire, exploration, slavery & abolition",6,The Boer War of 1899 to 1902 took place in South Africa with settlers from the Netherlands called the Boers.
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,22,Which of the following actions is known as “canvassing”?,Donating blood to help people,Volunteering for an environmental charity,Caring for animals at a local rescue shelter,Persuading people to vote for a political party,Persuading people to vote for a political party,1,Government & Politics,Elections & voting,5,"Members of political parties persuade people to vote for their candidates – for instance, by handing out leaflets in the street or by knocking on people’s doors and asking for their support. This is called ‘canvassing’."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,23,Which novel written by JRR Tolkien was voted the country’s best-loved novel in 2003?,Oliver Twist,James Bond,Pride and Prejudice,The Lord of the Rings,The Lord of the Rings,1,Culture & Society,Literature & writers,3,"In 2003, the Lord of the Rings by JRR Tolkien was voted the country’s best-loved novel."
5,https://lifeintheuktestweb.co.uk/british-citizenship-test-5/,24,When did Germany invade Poland?,1942,1941,1940,1939,1939,1,History,First & Second World Wars,4,Germany invaded Poland in 1939 .
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,1,As a British citizen what are your responsibilities (choose two answers)?,To respect and obey the law,To walk your dog only during the day,To go to church on Sunday,To look after yourself and your family,To respect and obey the law | To look after yourself and your family,2,Values & Citizenship,Rights & responsibilities of citizens,3,"If you wish to be a permanent resident or citizen of the UK, you should: respect and obey the law, look after yourself and your family , respect the rights of others, including their right to their own opinions, treat others with fairness and look after the area in which you live and the environment."
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,2,Who made the first coins to be minted in Britain?,The people of the Stone Age,The Anglo-saxons,The people of the Iron Age,The Romans,The people of the Iron Age,1,History,"Ancient, Roman & early Britain",8,"The people of the Iron Age made the first coins to be minted in Britain, some inscribed with the names of Iron Age kings. This marks the beginnings of British history."
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,3,Who built the Tower of London?,William the Conqueror,Queen Victoria,Queen Elizabeth I,Oliver Cromwell,William the Conqueror,1,History,Norman Conquest & the Middle Ages,6,The correct answer is William the Conqueror .
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,4,"There are 15 national parks in England, Wales and Scotland. What are national parks?",Giant greenhouses,Land formations of columns made from volcanic lava,Areas of protected countryside,Medieval buildings,Areas of protected countryside,1,Geography,Landmarks & famous places,3,"National Parks are areas of protected countryside that everyone can visit, and where people live, work and look after the landscape ."
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,5,Northern Ireland has its own established church.,True,False,,,False,1,Culture & Society,Religion & patron saints,7,False . There is no established Church in Wales or Northern Ireland.
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,6,Which three territories form Great Britain?,Wales,Northern Ireland,England,Scotland,Wales | England | Scotland,3,Geography,"Nations, capitals & geography of the UK",5,"‘Great Britain’ refers only to England, Scotland and Wales, not to Northern Ireland ."
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,7,How often are ’Prime Minister’s Questions’ held in the parliament?,Every day,Every week,Every two weeks,Once a month,Every week,1,Government & Politics,Parliament & how government works,6,Prime Minister’s Questions takes place every week while Parliament is sitting.
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,8,Which king was executed in 1649?,James I,Charles II,James VII,Charles I,Charles I,1,History,"Stuarts, Civil War & Restoration",6,The correct answer is Charles I .
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,9,Where was William Shakespeare born?,Manchester,Oldham,Stratford-upon-Avon,Lincolnshire,Stratford-upon-Avon,1,Culture & Society,Literature & writers,3,"Shakespeare was born in Stratford-upon-Avon , England."
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,10,Which two of the following are famous British Paralympians?,Dame Kelly Holmes,Baroness Tanni Grey-Thompson,Jayne Torvill,Ellie Simmonds,Baroness Tanni Grey-Thompson | Ellie Simmonds,2,Sport,Sport & sporting events,6,Baroness Tanni Grey-Thompson and Ellie Simmonds are the correct answers.
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,11,Who was reigning in England when English settlers first began to colonise the eastern coast of America?,Queen Victoria,Henry VIII,Elizabeth I,Charles II,Elizabeth I,1,History,"Empire, exploration, slavery & abolition",7,"In Elizabeth I ’s time, English settlers first began to colonise the eastern coast of America."
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,12,Scotland and Wales use a system called ‘individual registration’ where all those entitled to vote must complete their own registration form.,True,,False,,False,1,Government & Politics,Elections & voting,9,False. Northern Ireland uses a system called ‘individual registration’ and all those entitled to vote must complete their own registration form.
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,13,On what day is the birth of Jesus Christ celebrated?,Father’s Day,Christmas Day,New Year,Boxing Day,Christmas Day,1,Culture & Society,"Festivals, holidays & traditions",2,"Christmas Day , 25th of December, celebrates the birth of Jesus Christ."
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,14,"What sort of battle was the ’Battle of Britain’, fought between Germany and Britain in the summer of 1940?",A battle in the sea,An aerial battle,A battle in the mountains,A battle without rifles,An aerial battle,1,History,First & Second World Wars,4,‘The Battle of Britain’ was a crucial aerial battle fought between Germany and Britain in the summer of 1940.
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,15,Where is Swansea located?,England,Northern Ireland,Scotland,Wales,Wales,1,Geography,"Nations, capitals & geography of the UK",4,Swansea it is located in Wales .
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,16,Which two political parties formed a coalition in 2010?,The Conservative Party,The Green Party,The Labour Party,The Liberal Democrats Party,The Conservative Party | The Liberal Democrats Party,2,Government & Politics,Prime Ministers & political leaders,5,"In May 2010 the Conservative and Liberal Democrat parties formed a coalition and the leader of the Conservative Party, David Cameron, became Prime Minister."
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,17,Who established the Church of England?,Henry VIII,Oliver Cromwell,Winston Churchill,William of Orange,Henry VIII,1,History,Tudors & the Reformation,4,The correct answer is Henry VIII .
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,18,"In 1348, one third of the population in England, Wales and Scotland died as a result of which disease?",Measles,Leprosy,Smallpox,The Black Death,The Black Death,1,History,Norman Conquest & the Middle Ages,3,"In 1348, a disease, probably a form of plague, came to Britain. This was known as the Black Death . One third of the population of England died and a similar proportion in Scotland and Wales."
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,19,Haggis is a traditional food from which area?,Wales,England,Northern Ireland,Scotland,Scotland,1,Culture & Society,"Food, leisure & everyday life",2,Haggis is a traditional food from Scotland .
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,20,Which court deals with minor criminal offences in Scotland?,The Sheriff Court,The Magistrates’ Court,The Crown Court,The Justice of the Peace Court,The Justice of the Peace Court,1,Law & Justice,The legal system & courts,8,"In Scotland, minor criminal offences go to a Justice of the Peace Court ."
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,21,Which two of the following records give us information about England during the reign of William I?,The Magna Carta,The Domesday Book,The Bayeux Tapestry,The Canterbury Tales,The Domesday Book | The Bayeux Tapestry,2,History,Norman Conquest & the Middle Ages,6,The Domesday Book and the Bayeux Tapestry .
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,22,"In 1913, the British government promised ‘Home Rule’ for Ireland, why were changes in Ireland delayed until 1921?",Due to the outbreak of the First World War,Due to the outbreak of the Second World War,Because there was not a king on the British throne,Due to the outbreak of the Black Death,Due to the outbreak of the First World War,1,History,20th-century & post-war Britain,7,The outbreak of the First World War led the British government to postpone any changes in Ireland.
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,23,Which of the following statements is true:,Elizabeth I was a Protestant and she succeeded in finding a balance between the views of the Catholics and the more extreme Protestants.,Elizabeth I was a Catholic and she succeeded in finding a balance between the views of the Catholics and the more extreme Protestants.,,,Elizabeth I was a Protestant and she succeeded in finding a balance between the views of the Catholics and the more extreme Protestants.,1,History,Tudors & the Reformation,5,Elizabeth I was a Protestant and she succeeded in finding a balance between the views of the Catholics and the more extreme Protestants.
6,https://lifeintheuktestweb.co.uk/british-citizenship-test-6/,24,Which two documents do you need to apply for a National Insurance number?,"A document with your address on it, such as a tenancy agreement",Documents that prove that you have permission to work in the UK,A contract from your employer,Documents that prove your identity,Documents that prove that you have permission to work in the UK | Documents that prove your identity,2,Culture & Society,"Money, work, tax & public services",6,To apply for a National Insurance number you need documents that prove your identity and that you have permission to work in the UK .
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,1,"As a British citizen, you should:",Respect and obey the law,Vote in all elections,Take part in religious activities,Look after the area in which you live and the environment,Respect and obey the law | Look after the area in which you live and the environment,2,Values & Citizenship,Rights & responsibilities of citizens,5,As a British citizen you should respect and obey the law and look after the area in which you live and the environment are the correct answers.
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,2,When is Halloween celebrated?,5th of November,11th of November,31st of October,1st of April,31st of October,1,Culture & Society,"Festivals, holidays & traditions",1,Halloween is celebrated on the 31st of October .
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,3,The Bill of Rights in 1689 gave women the right to vote.,True,,False,,False,1,History,Glorious Revolution & Bill of Rights,3,"False . The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king’s power."
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,4,What is the name of the most famous cricket competition played between England and Australia?,The Ashes,The Six Nations Championship,The Grand National,The Australian Open,The Ashes,1,Sport,Sport & sporting events,4,"The most famous cricket competition is the Ashes , which is a series of Test matches played between England and Australia."
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,5,What was the biggest source of employment during the 18th century?,Fishing,Teaching,Aircraft industry,Manufacturing,Manufacturing,1,History,Industrial Revolution & invention,6,"During the 18th century, manufacturing jobs became the main source of employment in Britain."
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,6,"In 1314 the Scottish, led by Robert the Bruce, defeated the English at the battle of Bannockburn, and Scotland remained unconquered by the English.",True,False,,,True,1,History,Norman Conquest & the Middle Ages,6,This statement is true .
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,7,Which of the following is an example of criminal offence?,Smoking in public places where it is not allowed,Disputes about faulty goods or services,Disputes about an unfair dismissal in the workplace,A dispute between the landlord and the tenants who have not paid the rent,Smoking in public places where it is not allowed,1,Law & Justice,The legal system & courts,6,Smoking in public places. It is against the law to smoke tobacco products in nearly every enclosed public place in the UK. There are signs displayed to tell you where you cannot smoke.
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,8,Which Scottish clan was killed for not taking the oath?,The MacLaine of Lochbuie,The McDowalls of Garthland,The Macpherson of Cluny,The MacDonalds of Glencoe,The MacDonalds of Glencoe,1,History,Glorious Revolution & Bill of Rights,8,The correct answer is the MacDonalds of Glencoe .
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,9,Which two issues can the devolved administrations pass laws on?,Defence,Social security,Health,Education,Health | Education,2,Government & Politics,Devolution & the devolved nations,6,"Policy and laws governing defence, foreign affairs, immigration, taxation and social security all remain under central UK government control. However, many other public services, such as health and education , are controlled by the devolved administrations."
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,10,The assassination of the Archduke Franz Ferdinand of Austria in 1914 led to which of the following wars?,The Crimean War,The First World War,The Civil War,The Second World War,The First World War,1,History,First & Second World Wars,4,"On 28 June 1914, Archduke Franz Ferdinand of Austria was assassinated. This set off a chain of events leading to the First World War (1914-18)."
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,11,What is the capital city of Scotland?,Glasgow,St Andrews,Edinburgh,Aberdeen,Edinburgh,1,Geography,"Nations, capitals & geography of the UK",2,The capital city of Scotland is Edinburgh.
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,12,In 1833 the Emancipation Act abolished slavery throughout the British Empire.,True,False,,,True,1,History,"Empire, exploration, slavery & abolition",5,This statement is true .
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,13,What is the name of the process by which many Scottish landlords destroyed individual small farms (known as ‘crofts’) to make space for large flocks of sheep and cattle?,The Black Death,The Corn Removal,The Highland Clearances,The Enlightenment,The Highland Clearances,1,History,Industrial Revolution & invention,7,A process began which became known as the ‘Highland Clearances’ . Many Scottish landlords destroyed individual small farms (known as ‘crofts’) to make space for large flocks of sheep and cattle.
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,14,The Falkland Islands are a British overseas territory and are part of the United Kingdom.,True,False,,,False,1,Geography,"Nations, capitals & geography of the UK",7,False . The Falkland Islands are a British overseas territory. They are also linked to the UK but are not part of it.
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,15,Which two of the following are Civil War Battles?,The Battle of Waterloo,The Battle of Marston Moor,The Battle of Naseby,The Battle of Agincourt,The Battle of Marston Moor | The Battle of Naseby,2,History,"Stuarts, Civil War & Restoration",7,The Battles of Marston Moor and Naseby .
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,16,What was the name of the activist group who fought for the women‘s right to vote?,Chartists,Beefeaters,Suffragettes,Quakers,Suffragettes,1,History,Suffrage & women's rights (Suffragettes),3,"In the late 19th and early 20th centuries, an increasing number of women campaigned and demonstrated for greater rights and, in particular, the right to vote. They formed the women’s suffrage movement and became known as the ‘suffragettes’ ."
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,17,What UK landmark was voted as Britain’s favourite view in 2007?,The Big Ben,Lake District,Snowdonia,The London Eye,Lake District,1,Geography,Landmarks & famous places,8,"In 2007, television viewers voted Wastwater (Lake District) as Britain’s favourite view."
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,18,Who were the first people to live in Britain in what we call the Stone Age?,Farmers,Peasants,Hunter-gatherers,Pirates,Hunter-gatherers,1,History,"Ancient, Roman & early Britain",4,The first people to live in Britain were hunter-gatherers .
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,19,What is the name of the movement against the authority of the Pope and the ideas of the Catholic Church that took place during the reign of Henry VIII?,The Reformation,The Enlightenment,The Glorious Revolution,The Renaissance,The Reformation,1,History,Tudors & the Reformation,5,The correct answer is the Reformation .
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,20,What do you need to do to apply for a National Insurance Number?,Contact the NHS,Contact the Department for Work and Pensions (DWP),Contact your local MP,Ask you employer to get it for you,Contact the Department for Work and Pensions (DWP),1,Culture & Society,"Money, work, tax & public services",6,"If you have permission to work in the UK, you will need to telephone the Department for Work and Pensions (DWP) to arrange to get a National Insurance number."
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,21,Which of the following is a major horse-racing event in England?,The Wimbledon Championship,Royal Ascot,The Open Championship,The Six Nations Championship,Royal Ascot,1,Sport,Sport & sporting events,4,"Famous horse-racing events include: Royal Ascot , a five-day race meeting in Berkshire attended by members of the Royal Family; the Grand National at Aintree near Liverpool; and the Scottish Grand National at Ayr."
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,22,How many members form a jury in Scotland?,12,14,15,20,15,1,Law & Justice,The legal system & courts,8,In Scotland a jury has 15 members .
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,23,What is known as Lent?,The 40 days before Christmas,The 40 days after Easter,The 40 days before Easter,The 40 days after Christmas,The 40 days before Easter,1,Culture & Society,"Festivals, holidays & traditions",5,The 40 days before Easter are known as Lent.
7,https://lifeintheuktestweb.co.uk/british-citizenship-test-7/,24,When was the last successful foreign invasion of England?,1415,1314,1066,1200,1066,1,History,Norman Conquest & the Middle Ages,4,The Norman Conquest was the last successful foreign invasion of England in 1066 .
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,1,World War II started as a result of Germany invading which country?,France,Russia,Poland,Austria,Poland,1,History,First & Second World Wars,3,The Second World War started when Hitler invaded Poland in 1939. Britain and France declared war in order to stop his aggression.
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,2,Which flower is associated with Scotland?,The Shamrock,The Rose,The Daffodil,The Thistle,The Thistle,1,Culture & Society,"Festivals, holidays & traditions",4,The flower associated with Scotland is the thistle .
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,3,Police complaints can only be made by writing to the Chief Constable of the police force involved.,True,,False,,False,1,Law & Justice,"Police, crime & punishment",5,"False . Anyone can make a complaint about the police by going to a police station and writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland ."
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,4,Which of the following is a responsibility of the Home Secretary?,Economy,Crime,Education,Defence,Crime,1,Government & Politics,Parliament & how government works,6,"The Home Secretary is responsible for crime, policing and immigration ."
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,5,When is St David’s day celebrated?,1st March,17th March,23rd April,17th April,1st March,1,Culture & Society,Religion & patron saints,7,"St David’s day, patron of Wales, is celebrated on the 1st of March ."
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,6,"What happened to ‘Mary, Queen of Scots’ after she spent 20 years in prison?",She became Queen of England,She was sent to France,She escaped to Denmark,She was executed,She was executed,1,History,Tudors & the Reformation,5,"Mary was eventually executed , accused of plotting against Elizabeth I."
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,7,What did Francis Crick discover?,The MRI (magnetic resonance imaging) scanner,The jet engine,The IVF (in-vitro fertilisation) therapy,The structure of the DNA molecule,The structure of the DNA molecule,1,Culture & Society,Notable Britons & achievements,5,Francis Crick discovered the structure of the DNA molecule .
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,8,"Northern Ireland and Scotland have their own banknotes, which are valid everywhere in the UK.",True,,False,,True,1,Culture & Society,"Money, work, tax & public services",5,This statement is true .
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,9,"How many national parks are there in England, Wales and Scotland?",25,15,18,42,15,1,Geography,Landmarks & famous places,8,"There are 15 national parks in England, Wales and Scotland."
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,10,Is Northern Ireland part of Great Britain?,Yes,,No,,No,1,Geography,"Nations, capitals & geography of the UK",6,"‘Great Britain’ refers only to England, Scotland and Wales, not to Northern Ireland."
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,11,"If you are a dog owner, which two things should your dog’s collar have when you go out for a walk?",The owner’s address,The owner’s name,The dog’s breed,The dog’s name,The owner’s address | The owner’s name,2,Culture & Society,"Food, leisure & everyday life",5,All dogs in public places must wear a collar showing the name and address of the owner .
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,12,What day relates to the death of Jesus Christ?,Good Friday,Easter Sunday,Easter Monday,Ash Wednesday,Good Friday,1,Culture & Society,"Festivals, holidays & traditions",4,Easter takes place in March or April. It marks the death of Jesus Christ on Good Friday and his rising from the dead on Easter Sunday.
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,13,A responsibility of the MPs is to represent everyone in their _______.,County,Estate,District,Constituency,Constituency,1,Government & Politics,Parliament & how government works,5,A responsibility of the MPs is to represent everyone in their constituency .
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,14,What was achieved with the Magna Carta?,It restricted the King’s power,It increased the King’s power,It restricted the rights of the farmers,It increased women’s power,It restricted the King’s power,1,History,Magna Carta & early rights,4,"The Magna Carta established the idea that even the king was subject to the law. It protected the rights of the nobility and restricted the king’s power to collect taxes or to make and change laws. In future, the king would need to involve his noblemen in decisions."
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,15,Female genital mutilation (FGM) or taking a girl or woman abroad for FGM is illegal in the UK and it is a criminal offence.,True,,False,,True,1,Law & Justice,"Rights, equality & the law",3,This statement is true .
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,16,What year were women given the right to vote?,1918,1925,1949,1914,1918,1,History,Suffrage & women's rights (Suffragettes),7,"In 1918 , women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,17,Which two of the following are British overseas territories?,St Helena,Solomon Islands,Mauritius,The Falkland Islands,St Helena | The Falkland Islands,2,Geography,"Nations, capitals & geography of the UK",7,"There are several British overseas territories, such as St Helena and the Falkland Islands . They are linked to the UK but are not part of it."
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,18,Who did the English defeat in 1588?,The Normans,The Romans,The Spanish Armada,The Saxons,The Spanish Armada,1,History,Tudors & the Reformation,4,In 1588 the English defeated the Spanish Armada (a large fleet of ships).
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,19,Who designed the Cenotaph?,Sir Norman Foster,Lancelot ‘Capability’ Brown,Sir Edwin Lutyens,Isambard Kingdom Brunel,Sir Edwin Lutyens,1,Culture & Society,Architecture & famous buildings,9,"Sir Edwin Lutyens was responsible for designing many war memorials throughout the world, including the Cenotaph in Whitehall."
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,20,How often are the members of the Welsh government elected?,Every 5 years,Every 2 years,Every 4 years,Every 3 years,Every 4 years,1,Government & Politics,Devolution & the devolved nations,7,There are 60 members of the Welsh government or members of the Senedd (SMs) and elections are held every four years using a form of proportional representation.
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,21,During which period did the Beatles become popular and social laws were liberalised?,1960s,1970s,1980s,1950s,1960s,1,History,20th-century & post-war Britain,3,"The decade of the 1960s was a period of significant social change. It was known as the ‘swinging sixties’. There was growth in British fashion, cinema and popular music. Two well-known pop music groups at the time were The Beatles and The Rolling Stones. It was also a time when social laws were liberalised, for example in relation to divorce and to abortion in England, Wales and Scotland. The position of women in the workplace also improved."
8,https://lifeintheuktestweb.co.uk/british-citizenship-test-8/,22,The Man Booker Prize is awarded in which of the following categories?,Films,Sport,Literature,Music,Literature,1,Culture & Society,Literature & writers,4,"The Man Booker Prize for Fiction is awarded annually for the best fiction novel (literature) written by an author from the Commonwealth, Ireland or Zimbabwe. It has been awarded since 1968. Past winners include Ian McEwan, Hilary Mantel and Julian Barnes."
